Questions,Answers,,
How is Computer Vision and AI related?,"Computer Vision is a field of Artificial Intelligence that is used to obtain information from images or multi-dimensional data. Machine Learning algorithms such as K-means is used for Image Segmentation, Support Vector Machine is used for Image Classification and so on. Therefore Computer Vision makes use of AI technologies to solve complex problems such as Object Detection, Image Processing, etc.",,
Which is better for image classification? Supervised or unsupervised classification? Justify.,"In supervised classification, the images are manually fed and interpreted by the Machine Learning expert to create feature classes.",,
,"In unsupervised classification, the Machine Learning software creates feature classes based on image pixel values.",,
,,,
,"Therefore, it is better to choose supervised classification for image classification in terms of accuracy.",,
"Finite difference filters in image processing are very susceptible to noise. To cope up with this, which method can you use so that there would be minimal distortions by noise?","Image Smoothing is one of the best methods used for reducing noise by forcing pixels to be more like their neighbors, this reduces any distortions caused by contrasts.",,
How is Game theory and AI related?,"In the context of artificial intelligence(AI) and deep learning systems, game theory is essential to enable some of the key capabilities required in multi-agent environments in which different AI programs need to interact or compete in order to accomplish a goal.”",,
What is “Generality” in AI?,Generality is the measure of ease with which the method can be adapted to different domains of application.,,
What is a top-down parser?,A top-down parser begins by hypothesizing a sentence and successively predicting lower level constituents until individual pre-terminal symbols are written.,,
Mention the difference between breadth first search and best first search in artificial intelligence?,"These are the two strategies which are quite similar. In best first search, we expand the nodes in accordance with the evaluation function. While, in breadth first search a node is expanded in accordance to the cost function of the parent node.",,
What are frames and scripts in “Artificial Intelligence”?,"Frames are a variant of semantic networks which is one of the popular ways of presenting non-procedural knowledge in an expert system. A frame which is an artificial data structure is used to divide knowledge into substructure by representing “stereotyped situations’. Scripts are similar to frames, except the values that fill the slots must be ordered.  Scripts are used in natural language understanding systems to organize a knowledge base in terms of the situation that the system should understand.",,
What is FOPL stands for and explain its role in Artificial Intelligence?,"FOPL stands for First Order Predicate Logic, Predicate Logic provides A language to express assertions about certain “World”.   An inference system to deductive apparatus whereby we may draw conclusions from such assertion. A semantic based on set theory.",,
For online search in ‘Artificial Intelligence’ which search agent operates by interleaving computation and action?,"In online search, it will first take action and then observes the environment.",,
Which search algorithm will use a limited amount of memory in online search?,RBFE and SMA* will solve any kind of problem that A* can’t by using a limited amount of memory.,,
In ‘Artificial Intelligence’ where you can use the Bayes rule?,"In Artificial Intelligence to answer the probabilistic queries conditioned on one piece of evidence, Bayes rule can be used.",,
For building a Bayes model how many terms are required?,"For building a Bayes model in AI, three terms are required; they are one conditional probability and two unconditional probability.",,
What is the consequence between a node and its predecessors while creating bayesian network?,"While creating Bayesian Network, the consequence between a node and its predecessors is that a node can be conditionally independent of its predecessors.",,
To answer any query how the Bayesian network can be used?,"If a Bayesian Network is a representative of the joint distribution, then by summing all the relevant joint entries, it can solve any query.",,
What combines inductive methods with the power of first order representations?,Inductive logic programming combines inductive methods with the power of first order representations.,,
In Inductive Logic Programming what needed to be satisfied?,The objective of an Inductive Logic Programming is to come up with a set of sentences for the hypothesis such that the entailment constraint is satisfied.,,
Which algorithm inverts a complete resolution strategy?,"‘Inverse Resolution’ inverts a complete resolution, as it is a complete algorithm for learning first order theories.",,
In speech recognition what kind of signal is used?,"In speech recognition, Acoustic signal is used to identify a sequence of words.",,
In speech recognition which model gives the probability of each word following each word?,Biagram model gives the probability of each word following each other word in speech recognition.,,
What is Hidden Markov Model (HMMs) is used?,Hidden Markov Models are a ubiquitous tool for modelling time series data or to model sequence behaviour.  They are used in almost all current speech recognition systems.,,
"In HMM, where does the additional variable is added?","While staying within the HMM network, the additional state variables can be added to a temporal model.",,
" In Artificial Intelligence, what do semantic analyses used for?","In Artificial Intelligence, to extract the meaning from the group of sentences semantic analysis is used.",,
What is meant by compositional semantics?,"The process of determining the meaning of P*Q from P,Q and* is known as Compositional Semantics.",,
Which process makes different logical expression looks identical?,‘Unification’ process makes different logical expressions identical.  Lifted inferences require finding substitute which can make a different expression looks identical.  This process is called unification.,,
Which is the most straight forward approach for planning algorithm?,State space search is the most straight forward approach for planning algorithm because it takes account of everything for finding a solution.,,
What do you understand by Artificial Intelligence?,"Artificial intelligence is computer science technology that emphasizes creating intelligent machine that can mimic human behavior. Here Intelligent machines can be defined as the machine that can behave like a human, think like a human, and also capable of decision making. It is made up of two words, ""Artificial"" and ""Intelligence,"" which means the ""man-made thinking ability.""

With artificial intelligence, we do not need to pre-program the machine to perform a task; instead, we can create a machine with the programmed algorithms, and it can work on its ow",,
Why do we need Artificial Intelligence?,"The goal of Artificial intelligence is to create intelligent machines that can mimic human behavior. We need AI for today's world to solve complex problems, make our lives more smoothly by automating the routine work, saving the manpower, and to perform many more other tasks.",,
What do you understand by the reward maximization?,"Reward maximization term is used in reinforcement learning, and which is a goal of the reinforcement learning agent. In RL, a reward is a positive feedback by taking action for a transition from one state to another. If the agent performs a good action by applying optimal policies, he gets a reward, and if he performs a bad action, one reward is subtracted. The goal of the agent is to maximize these rewards by applying optimal policies, which is termed as reward maximization.",,
"What Are Intelligent Agents, and How Are They Used in AI?","Intelligent agents are autonomous entities that use sensors to know what is going on, and then use actuators to perform their tasks or goals. They can be simple or complex and can be programmed to learn to accomplish their jobs better. ",,
"What Is Tensorflow, and What Is It Used For?","TensorFlowis an open-source software library initially developed by the Google Brain Team for use in machine learning and neural networks research. It is used for data-flow programming. TensorFlow makes it much easier to build certain AI features into applications, including natural language processing and speech recognition. ",,
"What Is Machine Learning, and How Does It Relate to AI? ",Machine learning is a subset of AI. The idea is that machines will “learn” and get better at tasks over time rather than having humans continually having to input parameters. Machine learning is a practical application of AI. ,,
"What Are Neural Networks, and How Do They Relate to AI? ","Neural networks are a class of machine learning algorithms. The neuron part of the neural is the computational component, and the network part is how the neurons are connected. Neural networks pass data among themselves, gathering more and more meaning as the data moves along. Because the networks are interconnected, more complex data can be processed more efficiently.",,
Why Is Image Recognition a Key Function of AI?,"Humans are visual, and AI is designed to emulate human brains. Therefore, teaching machines to recognize and categorize images is a crucial part of AI. Image recognition also helps machines to learn (as in machine learning) because the more images that are processed, the better the software gets at recognizing and processing those images. ",,
What Is Automatic Programming?,"Automatic programming is describing what a program should do, and then having the AI system “write” the program.",,
What Are Constraint Satisfaction Problems?,"Constraint Satisfaction Problems (CSPs) are mathematical problems defined as a set of objects, the state of which must meet several constraints. CSPs are useful for AI because the regularity of their formulation offers commonality for analyzing and solving problems. ",,
What Is Supervised Versus Unsupervised Learning?,"Supervised learning is a machine learning process in which outputs are fed back into a computer for the software to learn from, for more accurate results the next time. With supervised learning, the “machine” receives initial training to start. In contrast, unsupervised learning means a computer will learn without initial training to base its knowledge.",,
What role does computer vision play in AI?,"Artificial intelligence (AI) is broken down into a number of subfields, one of which is known as computer vision. Computer vision is the process of teaching computers to understand and collect data from the visual environment, such as graphics. Therefore, AI technology is used by computer vision in order to address complicated challenges such as image analysis, object identification, and other similar issues.",,
Where does Artificial Intelligence go from here?,"It is anticipated that artificial intelligence will continue to have a significant impact on a large number of people as well as almost every sector. Artificial intelligence has become the primary impetus behind the development of new technologies such as robots, the Internet of Things, and large data sets. AI is capable of making an ideal judgment in a split second, which is almost difficult for a person to do. Cancer treatment, cutting-edge global climate solutions, smart transportation, and space research are all being aided by AI. We don't expect it to renounce its position as the driving force behind computer innovation and progress any time soon. Artificial Intelligence will have a greater influence on the globe than any other technological advancement in human history.",,
" What do you comprehend by the phrase ""reward maximization""?","Reinforcement learning uses the phrase ""reward maximization"" to describe the purpose of the agent, which is to maximize rewards. Real-world rewards are positive feedback for doing an action that results in a change in a state. A reward is given to the agent if he uses optimum policies to complete a good deed, and a reward is deducted if he fails to do so. Rewards are maximized by using the best rules possible, which is known as reward maximization.",,
What is your comprehension of hyperparameters?,"The training process is controlled by hyperparameters. Model train performance is directly influenced by these factors, which may be changed to one's liking. They are made known in advance. Algorithm hyperparameters that have no influence on simulation results but can influence the efficiency and acquisition of skills are the other two categories of hyperparameters that may be inferred when accommodating the machine to the learning algorithm.",,
What is a Chatbot?,"A chatbot is a computer program with artificial intelligence (AI) that can converse with humans using natural language processing. The communication may take place on a website, via an application, or through one of the several messaging applications. These chatbots, which are often referred to as digital assistants, are capable of interacting with people either via the exchange of text or by voice commands. The majority of companies now make extensive use of AI chatbots in order to provide round-the-clock, virtual customer service to their clientele.",,
What is the future of Artificial Intelligence?,"Artificial Intelligence has affected many humans and almost every industry, and it is expected to continue to do so. Artificial Intelligence has been the main driver of emerging technologies like the Internet of Things, big data, and robotics. AI can harness the power of a massive amount of data and make an optimal decision in a fraction of seconds, which is almost impossible for a normal human. AI is leading areas that are important for mankind such as cancer research, cutting-edge climate change technologies, smart cars, and space exploration. It has taken the center stage of innovation and development of computing, and it is not ceding the stage in the foreseeable future. Artificial Intelligence is going to impact the world more than anything in the history of mankind.",,
Explain cost function.," A cost function is a scalar function that helps identify how wrong an AI model is with regard to its ability to determine the relationship between X and Y. In other words, it tells us the neural network’s error factor. The neural network works better when the cost function is lower. For instance, it takes the output predicted by the neural network and the actual output and then computes how incorrect the model was in its prediction. So, the cost function will give a lower number if the predictions don’t differ too much from the actual values and vice-versa.",,
Explain vanishing gradient.,"As more layers are added and the distance from the final layer increases, backpropagation is not as helpful in sending information to the lower layers. As a result, the information is sent back, and the gradients start disappearing and becoming small in relation to network weights.",,
Mention the steps of the gradient descent algorithm.,"The gradient descent algorithm helps in optimization and in finding coefficients of parameters that help minimize the cost function. The steps that help achieve this are as follows: Step 1: Give weights (x,y) random values and then compute the error, also called SSE Step 2: Compute the gradient or the change in SSE when you change the value of the weights (x,y) by a small amount. This step helps us identify the direction in which we must move x and y to minimize SSE. Step 3: Adjust the weights with the gradients for achieving optimal values for the minimal SSE. Step 4: Change the weights for predicting and calculating the new error. Step 5: Repeat steps 2 and 3 till the time making more adjustments stops producing significant error reduction.",,
"What is the difference between Artificial Intelligence, Machine Learning, and Deep Learning?","DL is a subset of ML, which is the subset of AI. Hence, AI is the all-encompassing concept that initially erupted in computer science. It was then followed by ML that thrived later, and lastly DL, that is now promising to escalate the advances of AI to another level.",,
 Name some popular programming languages in AI.,"R, python lisp, prolog, java",,
 Name some popular programming languages in AI.,An expert system is an Artificial Intelligence program that has an expert-level knowledge about a specific area of data and its utilisation to react appropriately. These systems tend to have the capability to substitute a human expert. ,,
What is the Tower of Hanoi?,"Tower of Hanoi essentially is a mathematical puzzle that displays how recursion is utilised as a device in building up an algorithm to solve a specific problem. The Tower of Hanoi can be solved using a decision tree and a breadth-first search (BFS) algorithm in AI. With 3 disks, a puzzle can essentially be solved in 7 moves. However, the minimal number of moves required to solve a Tower of Hanoi puzzle is 2n − 1, where n is the number of disks.",,
What is an A* Algorithm search method?,"A* is a computer algorithm in AI that is extensively used for the purpose of finding paths or traversing graphs – to obtain the most optimal route between nodes. It is widely used in solving pathfinding problems in video games. Considering its flexibility and versatility, it can be used in a wide range of contexts. A* is formulated with weighted graphs, which means it can find the best path involving the smallest cost in terms of distance and time. This makes A* an informed search algorithm for best-first search.",,
What is a breadth-first search algorithm?,"BFS algorithm is used to search tree or graph data structures. It starts from the root node, proceeds through neighbouring nodes, and finally moves towards the next level of nodes. Till the arrangement is found and created, it produces one tree at any given moment. As this pursuit is capable of being executed by utilising the FIFO (first-in, first-out) data structure, this strategy gives the shortest path to the solution.",,
What is a Depth-first Search Algorithm?,"Depth-first search (DFS) is an algorithm that is based on LIFO (last-in, first-out). Since recursion is implemented with LIFO stack data structure, the nodes are in a different order than in BFS. The path is stored in each iteration from root to leaf nodes in a linear fashion with space requirement.",,
What is fuzzy logic?,Fuzzy logic is a subset of AI. It is a way of encoding human learning for artificial processing. It is represented as IF-THEN rules. ,,
What is Ensemble Learning?,"Ensemble learning is a computational technique in which classifiers or experts are strategically formed and combined. It is used to improve classification, prediction, and function approximation of any model.",,
Explain tree topology?,"As the name suggests, “Tree” topology has several connected elements arranged like the branches of a tree. The structure has at least three specific levels in the hierarchy. These are scalable and accessible while troubleshooting and are so preferred. A common drawback in this topology is the hindrance or malfunctioning of the primary node.",,
Explain Karl Pearson’s coefficient of correlation?,Karl Pearson’s correlation coefficient is a measure of the strength of a linear association between two variables. It is denoted by r or rxy (where x and y are the two variables involved). This method of correlation draws a line of best fit through the data of two variables.,,
How to select the best hyperparameters in a tree-based model?,Measure the performance over validation data.,,
How would you describe ML to a non-technical person?,"ML is geared toward pattern recognition. A great example of this is your Facebook newsfeed and Netflix’s recommendation engine. In this scenario, ML algorithms observe patterns and learn from them. When you deploy an ML program, it will keep learning and improving with each attempt.",,
What’s selection bias? What other types of biases could you encounter during sampling?,"When you’re dealing with a non-random sample, selection bias will occur due to flaws in the selection process. This happens when a subset of the data is consistently excluded because of a particular attribute. This exclusion will distort results and influence the statistical significance of the test. Other types of biases include survivorship bias and undercoverage bias. It’s important to always consider and reduce such biases because you’ll want your smart algorithms to make accurate predictions based on the data.",,
What’s an eigenvalue? What about an eigenvector?,"The directions along which a particular linear transformation compresses, flips, or stretches is called eigenvalue. Eigenvectors are used to understand these linear transformations. For example, to make better sense of the covariance of the covariance matrix, the eigenvector will help identify the direction in which the covariances are going. The eigenvalues will express the importance of each feature. Eigenvalues and eigenvectors are both critical to computer vision and ML applications.",,
"Would you use batch normalization? If so, can you explain why?","The idea here is to standardize the data before sending it to another layer. This approach helps reduce the impact of previous layers by keeping the mean and variance constant. It also makes the layers independent of each other to achieve rapid convergence. For example, when we normalize features from 0 to 1 or from 1 to 100, it helps accelerate the learning cycle.",,
When is it necessary to update an algorithm?,You should update an algorithm when the underlying data source has been changed or whenever there’s a case of non-stationarity. The algorithm should also be updated when you want the model to evolve as data streams through the infrastructure.,,
What would you do if data in a data set were missing or corrupted?,"Whenever data is missing or corrupted, you either replace it with another value or drop those rows and columns altogether. In Pandas, both isNull() and dropNA() are handy tools to find missing or corrupted data and drop those values. You can also use the fillna() method to fill the invalid values in a placeholder—for example, “0.”",,
"What is transfer learning, and how does it compare to a neural architecture approach?","Transfer learning is a process wherein the learning from an already developed model is resued and built upon for a new task. Essentially, it is using pre-trained models and customizing them for your use case.",,
How do you choose an algorithm for solving artificial intelligence and machine learning issues?,"Before choosing an algorithm for solving artificial intelligence and machine learning issues, I try to identify the issue completely. This helps me to understand the situation to a greater extent. It then allows me to determine the most suitable input and the algorithm. For solving the issue completely, it is necessary to choose an algorithm that is accurate, scalable and simple in nature. For me, it is important to finish the project within the time frame so I focus on analysing the data first and then choose the algorithm accordingly depending on training and build time.",,
What is simulated annealing Algorithm?,"The process is of heating and cooling a metal to change its internal structure. Although, for modifying its physical properties is known as annealing. As soon as the metal cools, it forms a new structure. Also, metal is going to retain its newly obtained properties. Although, we have to keep the variable temperature in a simulated annealing process. First, we have to set high temperature. Then, left it to allow “cool” slowly with the proceeding algorithm. Further, if there is high temperature, algorithm accepts worse solutions with high frequency.",,
What is Natural Language Processing?,We use English language to communicate between an intelligent system and N.L.P. Processing of Natural Language plays an important role in various systems.,,
What is Fuzzy Logic Implementation?,"Basically, it can be implemented in systems with various sizes and capabilities. That should be range from mall micro-controllers to large. Also, it can be implemented in hardware, software, or a combination of both in AI.",,
What are Expert Systems in AI?,"We can say these are computer applications. Also, with the help of this development, we can solve complex problems. It has level of human intelligence and expertise.",,
 Give a brief introduction to robotics?,"Basically, robots have their specific aim. As they manipulate the objects. For Example-  by perceiving, picking, moving, modifying the physical properties of an object.",,
How are artificial intelligence and machine learning different from one another?,"Machine learning and deep learning are the sub-sets of artificial intelligence. While AI is a smart operating system that uses the cognitiobn abilities of a human brain to solve complex problems, machine learning is a computer system that allows machines to learn from the data collected by surveys, among other things. Artificial intelligence processes are concerned with maximizing the chances of success. Meanwhile, machine learning’s main concern is accuracy and pattern, not success.",,
What are some of the popular AI domains?,"The answer to this artificial intelligence interview question will include machine learning, neutral networks, robotics, expert systems, fuzzy logic systems, and natural language processing. These popular sub-sets or domains of artificial intelligence have gained prominence in the last decade.",,
Which is better for image classification? Supervised or unsupervised classification? Justify.,"In supervised classification, the images are manually fed and interpreted by the Machine Learning expert to create feature classes. In unsupervised classification, the Machine Learning software creates feature classes based on image pixel values. Therefore, it is better to choose supervised classification for image classification in terms of accuracy.",,
"inite difference filters in image processing are very susceptible to noise. To cope up with this, which method can you use so that there would be minimal distortions by noise?","Image Smoothing is one of the best methods used for reducing noise by forcing pixels to be more like their neighbors, this reduces any distortions caused by contrasts.",,
What is a Confusion Matrix? How does it work?,"A confusion matrix is ​​a specific table that is commonly used to measure the performance of an algorithm. It is mostly used in supervised learning; in unsupervised learning, it's called the matching matrix. It has two parameters actual and predicted.",,
